sep=; 
"region";"url_region";"estacion";"estacion_enlinea";"url_estacion";"provincia";"comuna";"coord_utm";"huso";"longitud";"latitud";"contaminante";"contaminante_desc";"contaminante_cod";"contaminante_tecnica";"contaminante_fechaInicio";"contaminante_fechaFin";"contaminante_altura";"url_contaminante";"fecha_consulta";"pollutant";"unidad";"macro";"from";"to";"fecha_fin_actual";"url_descarga";"metrica";"ano_inicio";"ano_fin";"mes_inicio";"mes_fin"
"II";"/index.php/region/index/id/II";"Antofagasta";TRUE;"/index.php/estacion/index/id/259";"Antofagasta";"Antofagasta";"358874 E 7387875 N";"19";-70.3833269141901;-23.6135524278948;"Dióxido de azufre";"(SO2 - µg/m3N)";"0001";"FLUORESCENCIA PULSANTE - THERMO 43i";2018-06-01;2020-07-16;NA;"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Antofagasta&macropath=./RII/237/Cal/0001&macro=0001.diario.diario&from=180601&to=200714&";2020-07-16;"so2";"ug/m3N";"./RII/237/Cal/0001/0001.diario.diario.ic";"180601";"200714";TRUE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RII/237/Cal/0001/0001.diario.diario.ic&from=180601&to=200714&path=/usr/airviro/data/CONAMA/&lang=esp";"Diario";2018;2020;"06";"07"
"II";"/index.php/region/index/id/II";"Antofagasta";TRUE;"/index.php/estacion/index/id/259";"Antofagasta";"Antofagasta";"358874 E 7387875 N";"19";-70.3833269141901;-23.6135524278948;"Dióxido de azufre";"(SO2 - µg/m3N)";"0001";"FLUORESCENCIA PULSANTE - THERMO 43i";2018-06-01;2020-07-16;NA;"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Antofagasta&macropath=./RII/237/Cal/0001&macro=0001.horario.horario&from=180531&to=200715&";2020-07-16;"so2";"ug/m3N";"./RII/237/Cal/0001/0001.horario.horario.ic";"180531";"200715";TRUE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RII/237/Cal/0001/0001.horario.horario.ic&from=180531&to=200715&path=/usr/airviro/data/CONAMA/&lang=esp";"Horario";2018;2020;"05";"07"
"II";"/index.php/region/index/id/II";"Antofagasta";TRUE;"/index.php/estacion/index/id/259";"Antofagasta";"Antofagasta";"358874 E 7387875 N";"19";-70.3833269141901;-23.6135524278948;"Material particulado MP 10";"(MP 10 - µg/m3N)";"PM10";"ATENUACION BETA- MET ONE 1020";2013-06-01;2020-07-16;NA;"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Antofagasta&macropath=./RII/237/Cal/PM10&macro=PM10.diario.diario&from=130601&to=200715&";2020-07-16;"mp10";"ug/m3N";"./RII/237/Cal/PM10/PM10.diario.diario.ic";"130601";"200715";TRUE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RII/237/Cal/PM10/PM10.diario.diario.ic&from=130601&to=200715&path=/usr/airviro/data/CONAMA/&lang=esp";"Diario";2013;2020;"06";"07"
"II";"/index.php/region/index/id/II";"Antofagasta";TRUE;"/index.php/estacion/index/id/259";"Antofagasta";"Antofagasta";"358874 E 7387875 N";"19";-70.3833269141901;-23.6135524278948;"Material particulado MP 10";"(MP 10 - µg/m3N)";"PM10";"ATENUACION BETA- MET ONE 1020";2013-06-01;2020-07-16;NA;"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Antofagasta&macropath=./RII/237/Cal/PM10&macro=PM10.horario.horario&from=130601&to=200716&";2020-07-16;"mp10";"ug/m3N";"./RII/237/Cal/PM10/PM10.horario.horario.ic";"130601";"200716";TRUE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RII/237/Cal/PM10/PM10.horario.horario.ic&from=130601&to=200716&path=/usr/airviro/data/CONAMA/&lang=esp";"Horario";2013;2020;"06";"07"
"II";"/index.php/region/index/id/II";"Antofagasta";TRUE;"/index.php/estacion/index/id/259";"Antofagasta";"Antofagasta";"358874 E 7387875 N";"19";-70.3833269141901;-23.6135524278948;"Material particulado MP 2,5";"(MP 2,5 - µg/m3)";"PM25";"ATENUACION BETA- MET ONE 1020";2013-06-01;2020-07-16;NA;"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Antofagasta&macropath=./RII/237/Cal/PM25&macro=PM25.diario.diario&from=130601&to=200715&";2020-07-16;"mp2.5";"ug/m3";"./RII/237/Cal/PM25/PM25.diario.diario.ic";"130601";"200715";TRUE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RII/237/Cal/PM25/PM25.diario.diario.ic&from=130601&to=200715&path=/usr/airviro/data/CONAMA/&lang=esp";"Diario";2013;2020;"06";"07"
"II";"/index.php/region/index/id/II";"Antofagasta";TRUE;"/index.php/estacion/index/id/259";"Antofagasta";"Antofagasta";"358874 E 7387875 N";"19";-70.3833269141901;-23.6135524278948;"Material particulado MP 2,5";"(MP 2,5 - µg/m3)";"PM25";"ATENUACION BETA- MET ONE 1020";2013-06-01;2020-07-16;NA;"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Antofagasta&macropath=./RII/237/Cal/PM25&macro=PM25.horario.horario&from=130427&to=200716&";2020-07-16;"mp2.5";"ug/m3";"./RII/237/Cal/PM25/PM25.horario.horario.ic";"130427";"200716";TRUE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RII/237/Cal/PM25/PM25.horario.horario.ic&from=130427&to=200716&path=/usr/airviro/data/CONAMA/&lang=esp";"Horario";2013;2020;"04";"07"
"II";"/index.php/region/index/id/II";"Playa Blanca";FALSE;"/index.php/estacion/index/id/70";"Antofagasta";"Antofagasta";"356498 E 7381134 N";"19";-70.4072620697237;-23.6742141664046;"Material particulado MP 10";"(MP 10 - µg/m3N)";"PM10";"No informado";2007-09-01;2009-12-30;NA;"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Playa Blanca&macropath=./RII/226/Cal/PM10&macro=PM10.diario.diario&from=070901&to=091230&";2020-07-16;"mp10";"ug/m3N";"./RII/226/Cal/PM10/PM10.diario.diario.ic";"070901";"091230";FALSE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RII/226/Cal/PM10/PM10.diario.diario.ic&from=070901&to=091230&path=/usr/airviro/data/CONAMA/&lang=esp";"Diario";2007;2009;"09";"12"
"II";"/index.php/region/index/id/II";"Playa Blanca";FALSE;"/index.php/estacion/index/id/70";"Antofagasta";"Antofagasta";"356498 E 7381134 N";"19";-70.4072620697237;-23.6742141664046;"Dirección del viento";"Dirección del viento(Dir. viento - °)";"WDIR";"No informado";2009-01-01;2009-12-31;"10m";"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Playa Blanca&macropath=./RII/226/Met/WDIR&macro=horario_010&from=090101&to=091231&";2020-07-16;"wd_10m";"°";"./RII/226/Met/WDIR/horario_010.ic";"090101";"091231";FALSE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RII/226/Met/WDIR/horario_010.ic&from=090101&to=091231&path=/usr/airviro/data/CONAMA/&lang=esp";"Horario";2009;2009;"01";"12"
"II";"/index.php/region/index/id/II";"Playa Blanca";FALSE;"/index.php/estacion/index/id/70";"Antofagasta";"Antofagasta";"356498 E 7381134 N";"19";-70.4072620697237;-23.6742141664046;"Velocidad del viento";"Velocidad del viento(Vel. viento - m/s)";"WSPD";"No informado";2009-01-01;2009-12-31;"10m";"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Playa Blanca&macropath=./RII/226/Met/WSPD&macro=horario_010&from=090101&to=091231&";2020-07-16;"ws_10m";"m/s";"./RII/226/Met/WSPD/horario_010.ic";"090101";"091231";FALSE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RII/226/Met/WSPD/horario_010.ic&from=090101&to=091231&path=/usr/airviro/data/CONAMA/&lang=esp";"Horario";2009;2009;"01";"12"
"II";"/index.php/region/index/id/II";"Rendic";FALSE;"/index.php/estacion/index/id/33";"Antofagasta";"Antofagasta";"359138 E 7387995 N";"19";-70.3807283982919;-23.6124918535443;"Cobre";"";"00Cu";"No informado";2006-01-02;2006-12-30;NA;"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Rendic&macropath=./RII/225/Cal/00Cu&macro=00Cu.diario.diario&from=060102&to=061230&";2020-07-16;"cu";"s/i";"./RII/225/Cal/00Cu/00Cu.diario.diario.ic";"060102";"061230";FALSE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RII/225/Cal/00Cu/00Cu.diario.diario.ic&from=060102&to=061230&path=/usr/airviro/data/CONAMA/&lang=esp";"Diario";2006;2006;"01";"12"
