sep=; 
"region";"url_region";"estacion";"estacion_enlinea";"url_estacion";"provincia";"comuna";"coord_utm";"huso";"longitud";"latitud";"fecha_consulta";"n_parametros"
"II";"/index.php/region/index/id/II";"Villa Caspana";FALSE;"/index.php/estacion/index/id/3";"El Loa";"Calama";"507410 E 7514595 N";"19";-68.9279698520336;-22.474989977103;2020-07-16;3
"III";"/index.php/region/index/id/III";"21 de Mayo";TRUE;"/index.php/estacion/index/id/201";"Huasco";"Huasco";"281938 E 6848939 N";"19";-71.2272117975004;-28.4679386251354;2020-07-16;4
"III";"/index.php/region/index/id/III";"CAP";FALSE;"/index.php/estacion/index/id/45";"Chañaral";"Diego de Almagro";"449439 E 7077320 N";"19";-69.50704525646;-26.4234573508705;2020-07-16;10
"III";"/index.php/region/index/id/III";"Copiapó";TRUE;"/index.php/estacion/index/id/223";"Copiapó";"Copiapó";"368470 E 6972981 N";"19";-70.3298969960593;-27.360070436809;2020-07-16;5
"III";"/index.php/region/index/id/III";"Copiapo Sivica";TRUE;"/index.php/estacion/index/id/176";"Copiapó";"Copiapó";"369133 E 6971887 N";"19";-70.3233122971258;-27.3700082456468;2020-07-16;4
"III";"/index.php/region/index/id/III";"Doña Ines";FALSE;"/index.php/estacion/index/id/114";"Chañaral";"Diego de Almagro";"452032 E 7076284 N";"19";-69.4810812301642;-26.4329012360062;2020-07-16;10
"III";"/index.php/region/index/id/III";"EME F";TRUE;"/index.php/estacion/index/id/205";"Huasco";"Huasco";"282486 E 6849125 N";"19";-71.2215830613258;-28.4663524482406;2020-07-16;15
"III";"/index.php/region/index/id/III";"EME M";TRUE;"/index.php/estacion/index/id/175";"Huasco";"Huasco";"282763 E 6848691 N";"19";-71.218837475891;-28.4703132476937;2020-07-16;9
"III";"/index.php/region/index/id/III";"EME ME";TRUE;"/index.php/estacion/index/id/163";"Huasco";"Huasco";"279008 E 6849199 N";"19";NA;NA;2020-07-16;23
"III";"/index.php/region/index/id/III";"Huasco II";TRUE;"/index.php/estacion/index/id/179";"Huasco";"Huasco";"281581 E 6849067 N";"19";-71.230831548242;-28.4667243449263;2020-07-16;10
"III";"/index.php/region/index/id/III";"Huasco Sivica";TRUE;"/index.php/estacion/index/id/219";"Huasco";"Huasco";"282682 E 6848727 N";"19";-71.2196575026675;-28.4699750351304;2020-07-16;7
"III";"/index.php/region/index/id/III";"Los Volcanes";TRUE;"/index.php/estacion/index/id/248";"Copiapó";"Copiapó";"371047 E 6971867 N";"19";-70.3039643535114;-27.3703708834599;2020-07-16;4
"III";"/index.php/region/index/id/III";"Pabellón";FALSE;"/index.php/estacion/index/id/40";"Copiapó";"Tierra Amarilla";"378151 E 6940115 N";"19";-70.2353409895587;-27.657611569692;2020-07-16;2
"III";"/index.php/region/index/id/III";"Paipote";TRUE;"/index.php/estacion/index/id/196";"Copiapó";"Copiapó";"374539 E 6967442 N";"19";-70.269116546273;-27.4106357218769;2020-07-16;5
